,datetime,price,year,month,day
299,2011-03-04 00:00:00,471000,2011,3,4
300,2011-03-07 00:00:00,475000,2011,3,7
301,2011-03-08 00:00:00,475000,2011,3,8
302,2011-03-09 00:00:00,474000,2011,3,9
303,2011-03-10 00:00:00,472000,2011,3,10
304,2011-03-10 09:00:00,472000,2011,3,10
305,2011-03-11 00:00:00,467000,2011,3,11
306,2011-03-14 00:00:00,472000,2011,3,14
307,2011-03-15 00:00:00,471000,2011,3,15
308,2011-03-16 00:00:00,462000,2011,3,16
309,2011-03-16 08:30:00,463000,2011,3,16
310,2011-03-17 00:00:00,462000,2011,3,17
311,2011-03-18 00:00:00,468000,2011,3,18
312,2011-03-21 00:00:00,471000,2011,3,21
313,2011-03-22 00:00:00,471000,2011,3,22
314,2011-03-23 00:00:00,469000,2011,3,23
315,2011-03-24 00:00:00,472000,2011,3,24
316,2011-03-25 00:00:00,472000,2011,3,25
317,2011-03-28 00:00:00,468000,2011,3,28
318,2011-03-29 00:00:00,467000,2011,3,29
319,2011-03-30 00:00:00,467000,2011,3,30
320,2011-03-31 00:00:00,469000,2011,3,31
321,2011-04-01 00:00:00,471000,2011,4,1
322,2011-04-04 00:00:00,470000,2011,4,4
323,2011-04-05 00:00:00,471000,2011,4,5
324,2011-04-06 00:00:00,476000,2011,4,6
325,2011-04-07 00:00:00,476000,2011,4,7
326,2011-04-08 00:00:00,476000,2011,4,8
327,2011-04-11 00:00:00,480000,2011,4,11
328,2011-04-12 00:00:00,476000,2011,4,12
329,2011-04-13 00:00:00,476000,2011,4,13
330,2011-04-14 00:00:00,476000,2011,4,14
331,2011-04-15 00:00:00,480000,2011,4,15
332,2011-04-18 00:00:00,483000,2011,4,18
333,2011-04-19 00:00:00,485000,2011,4,19
334,2011-04-20 00:00:00,486000,2011,4,20
335,2011-04-21 00:00:00,487000,2011,4,21
336,2011-04-25 00:00:00,488000,2011,4,25
337,2011-04-25 13:00:00,488000,2011,4,25
338,2011-04-26 00:00:00,485000,2011,4,26
339,2011-04-27 00:00:00,488000,2011,4,27
340,2011-04-28 00:00:00,493000,2011,4,28
341,2011-04-29 00:00:00,495000,2011,4,29
342,2011-05-02 00:00:00,497000,2011,5,2
343,2011-05-03 00:00:00,492000,2011,5,3
344,2011-05-04 00:00:00,490000,2011,5,4
345,2011-05-05 00:00:00,485000,2011,5,5
346,2011-05-06 00:00:00,475000,2011,5,6
347,2011-05-09 00:00:00,480000,2011,5,9
348,2011-05-10 00:00:00,483000,2011,5,10
349,2011-05-11 00:00:00,485000,2011,5,11
350,2011-05-12 00:00:00,482000,2011,5,12
351,2011-05-13 00:00:00,481000,2011,5,13
352,2011-05-16 00:00:00,478000,2011,5,16
353,2011-05-18 00:00:00,478000,2011,5,18
354,2011-05-19 00:00:00,480000,2011,5,19
355,2011-05-20 00:00:00,480000,2011,5,20
356,2011-05-23 00:00:00,485000,2011,5,23
357,2011-05-24 00:00:00,485000,2011,5,24
358,2011-05-25 00:00:00,488000,2011,5,25
359,2011-05-26 00:00:00,489000,2011,5,26
360,2011-05-27 00:00:00,488000,2011,5,27
361,2011-05-30 00:00:00,491000,2011,5,30
362,2011-05-30 08:30:00,491000,2011,5,30
363,2011-05-31 00:00:00,491000,2011,5,31
364,2011-06-01 00:00:00,489000,2011,6,1
365,2011-06-06 00:00:00,491000,2011,6,6
366,2011-06-07 00:00:00,490000,2011,6,7
367,2011-06-08 00:00:00,489000,2011,6,8
368,2011-06-09 00:00:00,488000,2011,6,9
369,2011-06-10 00:00:00,490000,2011,6,10
370,2011-06-13 00:00:00,486000,2011,6,13
371,2011-06-14 00:00:00,484000,2011,6,14
372,2011-06-15 00:00:00,486000,2011,6,15
373,2011-06-16 00:00:00,487000,2011,6,16
374,2011-06-17 00:00:00,489000,2011,6,17
375,2011-06-20 00:00:00,493000,2011,6,20
376,2011-06-21 00:00:00,492000,2011,6,21
377,2011-06-22 00:00:00,494000,2011,6,22
378,2011-06-23 00:00:00,495000,2011,6,23
379,2011-06-24 00:00:00,488000,2011,6,24
380,2011-06-27 00:00:00,483000,2011,6,27
381,2011-06-28 00:00:00,484000,2011,6,28
382,2011-06-30 00:00:00,486000,2011,6,30
383,2011-07-01 00:00:00,483000,2011,7,1
384,2011-07-04 00:00:00,479000,2011,7,4
385,2011-07-05 00:00:00,480000,2011,7,5
386,2011-07-06 00:00:00,484000,2011,7,6
387,2011-07-07 00:00:00,487000,2011,7,7
388,2011-07-08 00:00:00,488000,2011,7,8
389,2011-07-11 00:00:00,491000,2011,7,11
390,2011-07-12 00:00:00,494000,2011,7,12
391,2011-07-13 00:00:00,498000,2011,7,13
392,2011-07-14 00:00:00,505000,2011,7,14
393,2011-07-15 00:00:00,504000,2011,7,15
394,2011-07-18 00:00:00,505000,2011,7,18
395,2011-07-19 00:00:00,509000,2011,7,19
396,2011-07-20 00:00:00,505000,2011,7,20
397,2011-07-21 00:00:00,508000,2011,7,21
398,2011-07-22 00:00:00,505000,2011,7,22
399,2011-07-25 00:00:00,511000,2011,7,25
400,2011-07-26 00:00:00,511000,2011,7,26
401,2011-07-27 00:00:00,512000,2011,7,27
402,2011-07-28 00:00:00,509000,2011,7,28
403,2011-07-29 00:00:00,510000,2011,7,29
404,2011-08-01 00:00:00,510000,2011,8,1
405,2011-08-02 00:00:00,510000,2011,8,2
406,2011-08-03 00:00:00,518000,2011,8,3
407,2011-08-04 00:00:00,522000,2011,8,4
408,2011-08-05 00:00:00,516000,2011,8,5
409,2011-08-05 13:00:00,520000,2011,8,5
410,2011-08-08 00:00:00,530000,2011,8,8
411,2011-08-08 12:00:00,534000,2011,8,8
